year,coal_price_usd_ton,copper_price_usd_ton
2000,26.25,1814.523973390741
2001,32.3125,1580.168974427773
2002,27.06,1560.290199562917
2003,27.9542410714286,1779.361560676642
2004,56.7299107142857,2863.468761431329
2005,50.8163130024737,3676.494724025974
2006,52.7307716829364,6731.351907154524
2007,70.0891980909537,7131.630016211752
2008,138.0237961699138,6963.481997803715
2009,76.1596647949277,5164.158777821943
2010,104.598814165124,7538.36211975715
2011,129.6072833005072,8823.454246463078
2012,101.4428916920157,7958.924678211917
2013,90.1340958413996,7331.490764986825
2014,75.7289814572073,6863.396580517912
2015,62.6925526907506,5510.457112715501
2016,70.0818063930116,4867.89742965368
2017,94.1380793492764,6169.939941851362
2018,113.2307853701339,6529.798370968594
2019,82.1932362752411,6010.145429645837
2020,61.9831981116667,6174.557917322126
2021,143.9847443933333,9317.409165882427
2022,384.1697332666667,8828.91681406456
2023,188.1525838583333,8490.76173149978
2024,143.5513817916667,9142.101560025723
