year,total_kusd,machElec_kusd,fuels_kusd,agrraw_kusd,machElec_pct,fuels_pct,agrraw_pct
2000,98229725.796,60709472.101,9449731.073,2573365.308,61.8,9.6,2.6
2001,88004108.096,52838216.843,8554204.077,1855333.832,60.0,9.7,2.1
2002,93282453.146,54423306.762,7827252.096,2093028.688,58.3,8.4,2.2
2003,104968562.038,59374870.857,10575888.398,2505113.776,56.6,10.1,2.4
2004,126639700.629,68266707.958,14689272.905,3097920.012,53.9,11.6,2.4
2005,141624045.896,75428611.071,18987777.864,3500328.531,53.3,13.4,2.5
2006,160669230.59,82670146.026,22064137.785,4376881.846,51.5,13.7,2.7
2007,175961862.673,84407404.562,25332110.179,4308727.84,48.0,14.4,2.4
2008,198702474.772,63069654.634,36479417.92,4643489.905,31.7,18.4,2.3
2009,157194831.522,71415709.046,23251212.138,3213264.343,45.4,14.8,2.0
2010,198790690.678,85702083.517,31513585.093,5242368.492,43.1,15.9,2.6
2011,226992681.985,86583459.171,40277177.637,7150313.171,38.1,17.7,3.2
2012,227449499.544,84150251.201,46431648.562,5425732.405,37.0,20.4,2.4
2013,228316107.468,84601800.796,50869713.459,4891529.049,37.1,22.3,2.1
2014,234134976.857,88678775.69,51731061.381,4064709.929,37.9,22.1,1.7
2015,200210871.947,81985026.095,32976124.812,3648071.354,40.9,16.5,1.8
2016,189414073.154,80022167.26,26532999.842,3654201.358,42.2,14.0,1.9
2017,217722507.482112,92544414.9914757,33570657.8834742,3258672.5666081,42.5,15.4,1.5
2018,248711690.011168,108510087.129596,38990048.6401143,3084131.97177215,43.6,15.7,1.2
2019,240211905.65233,103744047.437316,34702659.7882965,3061990.5764841,43.2,14.4,1.3
2020,234050267.453372,106345753.375609,26672202.5240227,2579079.21371345,45.4,11.4,1.1
2021,299230434.394232,127470352.060213,37270171.1979641,3084258.8026062,42.6,12.5,1.0
2022,352188166.340549,155216751.581896,60171722.563975,2538777.037483,44.1,17.1,0.7
2023,312605385.581646,142962533.63555,51637072.367487,2312497.029479,45.7,16.5,0.7
