year,total_kusd,machElec_kusd,manuf_kusd,machElec_pct,manuf_pct
2000,38078249.794,28222817.234,34774925.502,74.1,91.3
2001,32150202.592,22907041.435,29243738.896,71.3,91.0
2002,35208158.692,25749084.212,32195446.003,73.1,91.4
2003,36231205.444,25776209.808,32531755.577,71.1,89.8
2004,39680520.434,28365248.97,35617188.493,71.5,89.8
2005,41254683.469,28468581.971,36759821.994,69.0,89.1
2006,47410117.34,30922955.648,40841503.366,65.2,86.1
2007,50465711.125,32953605.615,42854090.537,65.3,84.9
2008,49077539.969,30301877.897,40551272.402,61.7,82.6
2009,38435801.947,24230106.013,32798720.822,63.0,85.3
2010,51497514.607,20416695.524,28990951.406,39.6,56.3
2011,48042128.759,16968668.049,27809026.224,35.3,57.9
2012,51995223.994,27826487.96,42530510.903,53.5,81.8
2013,56697802.975,29202868.954,44251736.579,51.5,78.0
2014,61809755.23,32043198.452,48629067.472,51.8,78.7
2015,58648083.08,34175101.703,49342087.235,58.3,84.1
2016,56312747.948,32994237.7,47431232.529,58.6,84.2
2017,68712611.186,41653884.96,55671089.831,60.6,81.0
2018,67487668.298,42516557.155,55376872.011,63.0,82.1
2019,70926674.49,45683083.968,57719156.57,64.4,81.4
2020,65214435.072,42090194.828,52171654.771,64.5,80.0
2021,74619528.755,47246756.186,59597877.912,63.3,79.9
2022,78928518.085,50699459.791,62900226.172,64.2,79.7
2023,72923284.86,46908511.475,58224534.107,64.3,79.8
