FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,DATASOURCE,year,value_kusd
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2000,2573365.308
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2001,1855333.832
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2002,2093028.688
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2003,2505113.776
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2004,3097920.012
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2005,3500328.531
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2006,4376881.846
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2007,4308727.84
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2008,4643489.905
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2009,3213264.343
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2010,5242368.492
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2011,7150313.171
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2012,5425732.405
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2013,4891529.049
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2014,4064709.929
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2015,3648071.354
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2016,3654201.358
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2017,3258672.5666081
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2018,3084131.97177215
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2019,3061990.5764841
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2020,2579079.21371345
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2021,3084258.8026062
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2022,2538777.037483
A,MYS,WLD,AgrRaw,XPRT-TRD-VL,WITS-CMT,2023,2312497.029479
